text,score,label
jauh sudah cukup muas,-1,negatif
sorry min khilaf,-1,negatif
lama loding nya,-1,negatif
selalu setia hadap telkomsel moga timbal balik nya,-1,negatif
mau tanya tiap awal ganti batas kok tiba tiba muncul tagih turut sangat fantastis padahal kan pakai misal batas pakai ribu tiap ganti batas tiba muncul tagih ribu sedang belum pakai mohon jelas,-4,negatif
luar biasa,-1,negatif
luar biasa,-1,negatif
telkomsel makin jaya,-1,negatif
luar biasa,-1,negatif
harga nya sih enggak parah,-1,negatif
mahal doang internetnya kayak tahi padahal tower telkomsel enggak jauh jauh kali nya parah tipu deh desa ngeleg kota,-6,negatif
sangat bagushanya susah erti vocer undi nya,-1,negatif
sangat pelit,-1,negatif
telkomsel susah buka,-1,negatif
astaga salah ketik min moga kartu telkomsel depan jauh lebih baik amin,-1,negatif
kartu memang bagus kenapa min tadi malam sekarang jaring kurang bagus padahal ganggu,-1,negatif
saran supaya paket kuota jangan pisah dongsupaya puas pakenyakan kali beli biar langgan puas,-1,negatif
sekarang kok simpati kok begini sinyal susah banget sih deh mehong,-2,negatif
tahan tingkat layan,-1,negatif
aplikasi nya lelet di buka,-1,negatif
syuka pakai telkomsel mana sinyal kuat kenapa sekarang paket unlimited makin mahal,-1,negatif
kasih bintang bos fungsi enggak jelas enggak di buka aplikasi nya minta daftar ulang suruh minta masuk no telp terus terus dikirimin sms balas baru mau akses aprikasi nya aduh capek,-2,negatif
cara atas,-1,negatif
moga makin luas jaring seluruh negara indonesia kepelosokpelosok desa di desa pagar puding lamo kec serai serum kab tebo provinsi jambi terimakasih,-1,negatif
data gb tapi jaring telkomsel parah banget masa enggak dipakekecewa hadap telkomsel,-1,negatif
jauh enggak sih,-1,negatif
aplikasi di akses berat,-1,negatif
jangan beli kartu telkomselsinyal nya buruk sekali,-1,negatif
bilang buruk mungkin kuota mahal kalo kartu lo baru jelas mahal kalo kartu lama murah kunci broo kalo kartu lama lo banyak jasa buat ngisi pulsa kuota murah balas telkomsel,-4,negatif
jelek gamenya burik coy,-1,negatif
alam lama telkomsel sangat muas,-1,negatif
woyy apa nih combo sakti ribu hapus unlimited nya appsnya dibatasin kecewa berat pokok balikin kayak dulu stop pakai telkomsel,-4,negatif
mantap makin lengkap fiturnya,-1,negatif
baru coba isi paket nelf moga entar tagih,-1,negatif
telkomsel luar biasa,-1,negatif
makin muantap,-1,negatif
cek kuota susah banget ya telkomsel,-1,negatif
asih bintang di daerah cuman telkomsel jaringanx pelosokmakasih tapi kok sekarang susah bangeeetttsinyalnya hilang muncul teruuuussslemot lelet kayak keonggak dulu masih tlng baik dongalx pulsa makin mahal,-3,negatif
fiturnya lengkap,-1,negatif
kurang bagus kurang kuat sinyal nya masuk wilagah jakaarta baratagak ngelack,-1,negatif
aplikasi bagusyg jadi masalah jaring telkomsel sekarang betul jeleksaya pikir harga kualitasdi semua provider indonesia mungkin tsel masuk kategori kartu mahaltapi kenapa mutu jaring nya sangat jelek,-2,negatif
