text,score,label
terima kasih developer my telkomsel bagai baru aplikasi sangat senang di ikan bonus kuota gratis guna baru saya jadi buat kalian belum download ayo cepat download jamin enggak bakal rugi,6,positif
bagusssss,0,positif
good,0,positif
aplikasi sangat bagus,1,positif
good,0,positif
sangat bagus,1,positif
selalu langgan telkomsel halo keluarga bayar jadi satu rekening suami hahahahahaa,0,positif
lebih mudah,1,positif
mantap,1,positif
apk nya bagus agak jelek,0,positif
baik,1,positif
bantu sinyal lebih optimal,2,positif
turut penguna aplikasi turut aplikasi bagus lebih cukup paket memang rada mahal ya banding paket biasa malah lebih baik apk turut bagus pokok top mohon bagus apk supaya lebih bagus depa sangat puas apk sekarang,5,positif
mantap telkomsel,1,positif
pun paket nya mahal tetap pakai telkomsel btw isin pulsa dong,1,positif
mantap,1,positif
ygy,0,positif
good,0,positif
bagus mudah,2,positif
mantap,1,positif
sangat bagus,1,positif
sangat bantu,1,positif
bagus sekali,1,positif
banyak hadiah nya broo,2,positif
mantap,1,positif
praktis mudah,2,positif
baik,1,positif
easy using,0,positif
mantap,1,positif
mantap,1,positif
bagus sekali,1,positif
tq aplikasi sangat,0,positif
mantap,1,positif
tukar pointa poin tukar bagai macam hadiahada mobil motor hp pulsa voucer belanja mantap apa hadiah syukur,3,positif
ada bank bri,0,positif
mantap,1,positif
apk sangat muas sayng harga kuota mahal banget,0,positif
sangat bagussaya suka,1,positif
bagus,1,positif
kasih promo dong,1,positif
sip,0,positif
sip lah apk nya mudah nya,1,positif
aat syahrani terima kasih telkomsel,2,positif
sangat bantu manfaat,2,positif
telkomsel good,0,positif
aplikasi sangat mudah segala,1,positif
good,0,positif
oke baik responsif,2,positif
mantul,0,positif
apk sangat bantu,1,positif
sangat bagus sekali,1,positif
apk nya bagus sinyanya perlu tingkat,0,positif
bagus top,2,positif
sangat bagus,1,positif
bagus sekali,1,positif
apk nya bagus mudah kak,2,positif
the you,0,positif
wowow keren,1,positif
telkomsel memang baik,1,positif
rekomendasi banget buat telkomsel,1,positif
mantap,1,positif
i like my telkomsel,0,positif
sangat bagus,1,positif
alhamdulillah selalu baik my telkomsel,2,positif
fribadi telkomsel mantap trimksih,1,positif
sangat bagusssss,0,positif
benar enggak telkomsel hadiah,2,positif
nomor cantik larang double number,0,positif
bantu banget,1,positif
asik mytelkomsel,0,positif
mmantaf bos kalo memang benar hadiah nya,2,positif
keereen,0,positif
mytelkomsel good undi hapy hapy benar apa enggak,1,positif
aplikasi sangat bantu,1,positif
lumayan,1,positif
mntap,0,positif
sudah mendownload aplnya minta promo internet murah my telkomsel ku,0,positif
beli kuota sini lebih murah,0,positif
bagus,1,positif
okey,0,positif
mantap sekali harga paket sakti murah bangetgb cuma,0,positif
mantap,1,positif
keren,1,positif
mantap,1,positif
tollong penuh permintan orang,0,positif
good,0,positif
sangat baik,1,positif
mantul bossd,0,positif
bagus,1,positif
lebih nyaman,1,positif
veryy god,0,positif
akskakssksksksksksksksskskskskskskskskskskskskskskskskskkskskskskskskskskskskskskskskskksksksskkssksksksksksskskksksksksksksskskskskskskskskskskskskskskskskskskskskskskskskkskskkskskskskskkskskskskskskskskskskskskkskskskskskssksksskksksksksskkskskskskskskskskskskskskskskskksksksksskskskskskskskskskskkskskskskskskkskskskskkskskskskskkskskskskkskskskkskskksksksksksksksksksskskskksskksskksskksksksskkskskskskskskskskskskskskkskskskskskskskksksksksksksksksksksksksskkskskskskskskksksksksksksksksksksks,0,positif
sangat murah,0,positif
selalu tunjuk tanda cinta langgan setia langgan sudah setia lama bas tahun telkomsel cara selalu beri paket istimewa lebih istimewa paket promo langgan baru begitu yakin akan tetap setia,4,positif
sinyal banget mana sampai pelosok no prob,0,positif
takjub,1,positif
my telkomsel makin asyik waktu waktu,0,positif
sangat bagus,1,positif
the best,0,positif
bantu dalam beli data internet banyak promo chek,2,positif
bagus,1,positif
bantu,1,positif
sangat bagus,1,positif
oke,0,positif
sangat sangat baik coba download now,1,positif
akhirinikok telkomselpayah signalya,0,positif
lumayan bagusdah selalu promo,1,positif
mantap,1,positif
sukses,1,positif
bagus,1,positif
best lah,0,positif
mantap,1,positif
moga lebih baik,1,positif
terimakasih banyak kuota gratis nya moga telkom beri ini terus terus,2,positif
mantap,1,positif
bagus,1,positif
mantap,1,positif
apk nya,0,positif
yez,0,positif
lancar jaya,0,positif
bagus,1,positif
sangat bagus,1,positif
tks,0,positif
sangat bantu,1,positif
maraiman siregar siregar,0,positif
cakep,1,positif
paket mahal jaring vipudah mahal lag emag telkom kayak bab,0,positif
mudah sekali,1,positif
mantap,1,positif
tetap,1,positif
bagus sangat bantu beli pakai isi pulsa,2,positif
bagus,1,positif
terima kasih,2,positif
sip,0,positif
capet,0,positif
tidk murah kartu apa,0,positif
sinyalsuka ngilangdi area citeureup pas muktisemoga di tinfkatkan lebih baik go sukses,2,positif
mantul,0,positif
ayo spam bintang,2,positif
telkomsel mantap,1,positif
bagus apk nya,1,positif
sangat puas apk,0,positif
mantap,1,positif
bagus,1,positif
aplikasi my telkomsel sangat bagus,1,positif
alkhmdulillah pakai my telkomsel lebih mudah,1,positif
sangat butuh cara cepat,0,positif
aplikasi nya bagus banget bayar via pulsadanagolay lain terima kasih terkomsel,3,positif
bagus,1,positif
mantap,1,positif
aplikasi nya bagus bagat sekali beli langsung masuk pulsa nya,1,positif
sangat bantu beli pls dank kuota,1,positif
butuh kuota tonton anying butuh hooq view babe,0,positif
bagus,1,positif
mantap,1,positif
semenjak download aplikasi my telkomsel enggak pernah gonta ganti kartu jadi mudah beli paket,1,positif
good,0,positif
sipppp moga sering promo,0,positif
mantap signalnyacm harga paket mahal,1,positif
sangat baik,1,positif
baik sekali bestie,1,positif
nantap,0,positif
bagusbisa bantu,1,positif
mantap,1,positif
oke sip,0,positif
baru cobasemoga sinyal nya bagus,1,positif
oke lah asik,0,positif
mantap,1,positif
lumayan lah,1,positif
good,0,positif
god job,0,positif
baguuss,0,positif
sangat bagus lah,1,positif
mantap,1,positif
mantap,1,positif
mantap,1,positif
mantap,1,positif
sangatt baik,1,positif
sangat manfaat bantu siap sedia jam,3,positif
baik mudah bantu,3,positif
sangat bantu,1,positif
iya,0,positif
suka,1,positif
mantrraaaaap,0,positif
mantap,1,positif
this good,0,positif
nice,0,positif
good,0,positif
oke,0,positif
bagus,1,positif
baik,1,positif
bagus agar operasi lancar minimum perangkat gb ram gb rom,1,positif
mantap murah,1,positif
my telkomsel is the best,0,positif
kalau yang mudah harus ribeutt,1,positif
yuk pakai kartu telkomsel,0,positif
nice,0,positif
bagus,1,positif
sangat baik,1,positif
sangat muas,0,positif
tampil mudah digunakanbanyak promo tarik khusus kuota sakti cukup jangkau daily check nya cukup bantu ketika kuota hampir habis akhir bulan,1,positif
bagus mohon kembang apk nya,1,positif
sip,0,positif
keren,1,positif
aplikasi enggak ngelek lah promo nya,0,positif
the best,0,positif
oke,0,positif
ku baru kali baik cuman kadang bayar belum aplikasi gopay dan ovo,1,positif
baik,1,positif
kasih bonus nya hehe mantaf,2,positif
ook,0,positif
sangat bagus,1,positif
bagus,1,positif
mudah peket internet banyak promo sinyal lebih baik,3,positif
sangat mudah,1,positif
mudah urus,1,positif
sangat bantu,1,positif
suwon,0,positif
cukup baik,1,positif
hadiah bikin happy,2,positif
terima kasih,2,positif
good,0,positif
mantap,1,positif
bagus banget,1,positif
bagus banget,1,positif
keren,1,positif
baik,1,positif
mantap,1,positif
bagus moga banyak bonus data sms telpon bisa ketika data lokal habis,4,positif
muldk brodi,0,positif
bagus banget,1,positif
akurat sangat,0,positif
bagus,1,positif
bagai,0,positif
kak,0,positif
mantap aplikasi,1,positif
mantap bos,1,positif
trimakasih,0,positif
promonya banyak,1,positif
telkomsel is the best,0,positif
nice,0,positif
aplikasi sangat bantu sinyal kuat harga sahabat,1,positif
puasssssszzz,0,positif
puas,0,positif
marasa,0,positif
sangat bantu terimakasih my telkomsel,1,positif
sangat muas,0,positif
mantp di pakai bulan,0,positif
mantap,1,positif
tarik,0,positif
cukup bantu isi pulsa paket data,1,positif
trimakasih,0,positif
baik,1,positif
lumayan kak harga jangan dimahalin kak,1,positif
okeh,0,positif
satu,0,positif
bguss,0,positif
pp,0,positif
nice,0,positif
telkomsel memang mantap,1,positif
sinyal sangat bagus,1,positif
keren,1,positif
bagus,1,positif
bagus,1,positif
good,0,positif
bagus,1,positif
baik,1,positif
aplikasi nya bantu bangtsss,1,positif
mantaps mytelkomsel serba mudah,1,positif
dong metode bayar nya banyak biar opsi pilih mudah pembayaranterutama debit instan jangan cuma bank mandiri,2,positif
mantap,1,positif
mantap luar biasa,0,positif
trimakasih my telkomsel,0,positif
my telkomsel apk percaya,1,positif
bagus baet,1,positif
bagus,1,positif
top deh,1,positif
wey gue maketin bulan ribu main mobile legend ngel lagg mahal doang,0,positif
mantap,1,positif
telkomsel debest,0,positif
moga dapat samsung ultra,0,positif
good,0,positif
suka aplikasi nya,1,positif
cepat proses,1,positif
aku suka telekomunikasi seluler,1,positif
gud,0,positif
bagus,1,positif
mohon konfirmasi sempat dapat hadiah undi undiundi hepi ada menang konfirmasi terusmenerus,4,positif
muas kan,0,positif
bagus,1,positif
mantap,1,positif
mantap,1,positif
layan mudah informasi lengkap,0,positif
bagus,1,positif
sangat puas,0,positif
mantao,0,positif
sip,0,positif
banyak diskon,1,positif
baik,1,positif
terima kasih telkomsel,2,positif
bagus,1,positif
sangat membantumantuuuuuul pokok deh banget,0,positif
butuh pulsa,0,positif
sangat bantu aplikasi nya,1,positif
mudah,1,positif
sangat bantu,1,positif
cepat hebat,2,positif
bagggggggggggguuusss banget,0,positif
bagus keren,2,positif
baik,1,positif
mantap,1,positif
terima kasih,2,positif
mantap sekali,1,positif
good,0,positif
murah,0,positif
bagus,1,positif
sangat bantu banyak promo nya top my telkomsel,3,positif
lebih murahin paket tan data nya terima kasih,2,positif
mantap,1,positif
bagus,1,positif
mantap,1,positif
aplikasi bagus,1,positif
oke,0,positif
good,0,positif
aaa,0,positif
mantaaaap,0,positif
mudah beli pulsa,1,positif
praktis,1,positif
mudah,1,positif
jos,0,positif
good,0,positif
apk bagus mudah beli kouta pun bayar neftlix,2,positif
joosss,0,positif
mantap,1,positif
mantap,1,positif
mantab joss,1,positif
mancap,0,positif
sangat dibutukan informasig,0,positif
mantap,1,positif
jos,0,positif
banget,0,positif
puas dgan fitur telkomsel,0,positif
aplikasi sangat bagus,1,positif
bagusdapat bantu ku cari kuota,1,positif
good,0,positif
jangan sering lot,0,positif
mantap sekali bos,1,positif
paket data pulsa sangat penting,1,positif
matap,0,positif
sangat nendukung,0,positif
bagus banget,1,positif
bagus,1,positif
suka,1,positif
mantap telkomsel,1,positif
moga manfaat,1,positif
sangat muas,0,positif
good,0,positif
jaring luas,1,positif
sukses terus,1,positif
bagus banget,1,positif
jaring bagusin ya jangan harga di mahalin,0,positif
mana kaki lang selalu telkomsel sama,0,positif
bagus sekali,1,positif
my telkomsel apli nya sangat keren bonus paket data trimakasih telkomsel,2,positif
excellent,0,positif
ummm,0,positif
bagus layan,1,positif
mohon benerin sinyal nya aplikasi terimakasih,0,positif
kasih lebih murah dong,1,positif
selalu puas my telkomseludah sering ikut undiundi hepi belum beruntungmudahan sekarang untung,1,positif
beri dong free kuota atau giga,0,positif
apk sngat baik terlalu mahal mohon di murah kan,0,positif
mantap,1,positif
okee,0,positif
ya baru malah enggak buka dong di baik di baru malah minta di baru lagijangan bikin enggak nyaman dong,2,positif
sangat pua,0,positif
mantap,1,positif
sangat bagus,1,positif
terima kasih,2,positif
mantap,1,positif
goodjob,0,positif
thebesh,0,positif
sangat puas,0,positif
mantap mudah pakai sangat bantu,3,positif
keren,1,positif
mantappppp,0,positif
sangat memuaskanthank you telkomsel,0,positif
bagus,1,positif
sangat muas,0,positif
bagus,1,positif
muas,0,positif
sangat baik,1,positif
muas,0,positif
moga menang undi,1,positif
sangat baik,1,positif
tampil paket data my orbit,0,positif
good,0,positif
cukub baik,1,positif
nice,0,positif
nyaman mudah kualitas,2,positif
terimah kasih,1,positif
baik bagus,2,positif
sangat mudah akses beli paket data,1,positif
harisandi,0,positif
sekali,0,positif
mantap,1,positif
sangat manfaat aplikasi initop deh pokok nya,1,positif
sangat ideal,1,positif
bgusss,0,positif
baik,1,positif
good,0,positif
sangat puas,0,positif
telkomsel baik banget deh,1,positif
ulas,0,positif
wow,1,positif
sangat baik,1,positif
manfaat,1,positif
aman,1,positif
bagus banget aplikasi belum apa baru daftar dapat pulsa sama paket data gratis,2,positif
paket enggak yang murah,0,positif
sangat baik,1,positif
mantap,1,positif
sangat menang,1,positif
mangtaaaab,0,positif
good,0,positif
good,0,positif
toppp,0,positif
pas buat seluruh rakyat indonesia,0,positif
baik pelayananya,1,positif
pengin punya motor,0,positif
sangat baik,1,positif
mantap,1,positif
baik,1,positif
sangat puas,0,positif
cek pulsa paket,0,positif
keren,1,positif
ku kasih langsung,1,positif
mantap,1,positif
my telkomsel sangat bantu sangat efektif komunikasi interaksi lancar tertib aman tmk,5,positif
mudah transaksi paket data,1,positif
oke,0,positif
sangat puas terima kasih,2,positif
the best,0,positif
mantap pokok mah,1,positif
mantap,1,positif
mntap,0,positif
kencengin internetnya,0,positif
manfaat,1,positif
layan bagus,1,positif
bagus akses,1,positif
bagus,1,positif
nice,0,positif
jooozzz,0,positif
cepat,1,positif
mantap,1,positif
my telkomael amazing,0,positif
good,0,positif
app bagus sesal kalo enggak dowload,1,positif
oke,0,positif
telkomsel the best,0,positif
good,0,positif
deh bagus sekarang aplikasi nya enggak kayak dulu,1,positif
sangat puas layan telkomsel indonesia bravoo,0,positif
aku belli kuota murah,0,positif
mantap,1,positif
rasa bantu mudah my telkomsel,2,positif
good,0,positif
mantap,1,positif
telkomsel kredivo sangat bantu moga depan makin sukses,1,positif
bagus,1,positif
the best,0,positif
cara aktif kartu sakti bagaimana bos,0,positif
good,0,positif
paket banyak pilih hadiah nanti cara tingkat poin isi pulsa,2,positif
cakefcakefmantafjempol,0,positif
mantap,1,positif
sagat bagus,1,positif
mantap banget josss mytelkomsel,1,positif
muas,0,positif
aplikasi sip,0,positif
sangat senang,1,positif
bagus,1,positif
layan nya bagus banget alangkah baik nya kalau sedia paket combo sakti lebih murah harga nya terima kasih sukses selalu my telkomsel,5,positif
no komen,0,positif
keren,1,positif
kerja,1,positif
lebih cepat belum moga unlimited tidak,0,positif
very good,0,positif
sipaling mantap,1,positif
keren banget,1,positif
is the best,0,positif
mantap,1,positif
aplikasi sangat bagus,1,positif
lumayan,1,positif
alhamdulillah kouta gratis,2,positif
tahun telkomsel hebat,1,positif
selalu di andal,1,positif
sangat baik sekali,1,positif
like,0,positif
mantap,1,positif
nice,0,positif
layan tingkat kualitas kalau plat merah murah lah vendor,0,positif
mantab,1,positif
apk nya bagus,1,positif
sangat baik,1,positif
asalamualaikum telkomsel hormat lah baik sinyal nya turunin dikit harga kuota harga sama kuota nya enggak banding turut sekian terimakasih,2,positif
okhh,0,positif
aplikasi sangat bantu,1,positif
sangat jangkau,0,positif
mantap,1,positif
bagus,1,positif
bagus,1,positif
bagus,1,positif
keren banget sih mudah cepat proses,3,positif
keren lah,1,positif
good service,0,positif
bagus,1,positif
bagus lumayan banyak perfek baru makin bagus makin baik lag macet mohon kurang khusunya punya data sedikit,0,positif
sangat bagus,1,positif
bagus,1,positif
baik aplikasi,1,positif
sangat puas,0,positif
bagus,1,positif
siiip,0,positif
sangat bantu sekali,1,positif
apk nya mantap betull,1,positif
bagus sekali aplikasi nya,1,positif
hemmm min kasih lah promo kuota ekstra unlimited woke ku kasih bintang,3,positif
mantap,1,positif
mantapppp,0,positif
sangat baik,1,positif
bagus,1,positif
mantap,1,positif
mantap,1,positif
keren,1,positif
by,0,positif
keren,1,positif
sangat bagus,1,positif
aplikasi sangat muas turut pribadi,0,positif
good,0,positif
mantap apk nya,1,positif
lumayan lah,1,positif
awal nya kasih bintang sekarang bintang turut sudah lebih banyak baik applikasinya mantap maju terus telkomsel,7,positif
kasih aku diskon,1,positif
mantap,1,positif
efektif bagus akurat,2,positif
baik,1,positif
developer aplikasi sangat bantu mohon paket combo nya tambah banyak dan kasih turun harga,2,positif
top,1,positif
sangat baik,1,positif
sangat bantu,1,positif
sangat top,1,positif
tambah sip,0,positif
sangat baik,1,positif
mantap lah,1,positif
baik,1,positif
bagus,1,positif
sangat puas,0,positif
sangat baik,1,positif
oke lah,0,positif
mtp,0,positif
nah dong,0,positif
sangat puas,0,positif
aluss pokonamah euy,0,positif
good,0,positif
kalo beli kuota sering penuh apa kita duiiiit mulu duiiiiiit mulu apes gue apes luuuu,0,positif
bagus,1,positif
bagus banget aplikasi sangat bantu,2,positif
sangat puas,0,positif
mantap,1,positif
mantap,1,positif
mantap,1,positif
aplikasi sangat keren lanjut kan terus kembang apk agar banyak langgan kecewa beri ranting,1,positif
good,0,positif
keren banget,1,positif
makin luas jaring,0,positif
jos,0,positif
jaring luas,1,positif
mantap,1,positif
moga motor,0,positif
mantap aplikasi,1,positif
sangat bantu,1,positif
sip,0,positif
sangat muas,0,positif
muas,0,positif
mudah muas,1,positif
top,1,positif
telkomsel,0,positif
sangat puas,0,positif
layan jaring bagus enggak lelet,0,positif
mantap,1,positif
terima kasih telkomsel moga sukses selalu buat rekanrekan manegement pttelkomseljakartasemua sejawatimur,3,positif
sangat mudah,1,positif
sangat suka aplikasi mytelkomsel sangat mudah beli paket seperti pulsa paket internet sangat mudah sekali bayar sambung akun dana gopay ovo di sopipay bisa trimakasih mytelkomsel sukses selalu,6,positif
mantap banget kadang akun ku suka keluar sendiri mana lupa pwnya kan wkwk jauh bagus terus sering kasih kuota gratis thankyouuu,2,positif
bagus,1,positif
telkomsel hebat,1,positif
gampang banget transaksi nya,1,positif
oke,0,positif
aplikasi sangat bagus bantu,2,positif
aplikasi mantap lah,1,positif
bagus,1,positif
moga tambah mnntaapppberkahhhh,0,positif
bagus sekali,1,positif
paket murah,0,positif
quick respons,0,positif
oke punya,0,positif
oke,0,positif
moga jadi aplikasi guna telkom banyak kasih gratis,3,positif
bagus banget kartu nya sama apk nya kuota nya murah murah good job friend,1,positif
aplikasi sangat bantu,1,positif
lumayan bagus my telkomsel nya tahan kan terus,1,positif
sangat bantu,1,positif
mantap,1,positif
biar bintang bicara kalo bintang tujuh takkasih telkomsel mantap,3,positif
bagus,1,positif
mudah lancar terus,1,positif
apk nya bagus banget,1,positif
aplikasi bagus,1,positif
cepat mudah banyak pilih paket,4,positif
bagus,1,positif
nice,0,positif
ya hp aplikasi my telkomsel deteksi aplikasi rusaksudah uninstal ulang tetap deteksi aplikasi rusakmohon jelas,0,positif
mudah cepat,2,positif
layan prima terimakasih,1,positif
baik,1,positif
aplikasi sangat bagus beli paket gb bulan harga ribu tunggu apa download beli paket mytelkomsel,1,positif
baik,1,positif
oke,0,positif
nice,0,positif
rasa puas,0,positif
good,0,positif
aku selalu bonus terima kasih,3,positif
muas,0,positif
fandu,0,positif
sangat bagus,1,positif
sangat puas,0,positif
very good,0,positif
jos,0,positif
good,0,positif
respon cepatmudah digunakanmemuaskan app nyaharga data terjngkau,0,positif
mahal pketnyaaa,0,positif
bagus banget,1,positif
sangat bantu,1,positif
sangat puas,0,positif
sangat bagus beri paket data gratis bagus golong sedang bawah kalo tambah,3,positif
good,0,positif
mantul,0,positif
bagus se,1,positif
goodaplication my fill inmy activity provider,0,positif
semua bagus cuman harga kuota yang mahaldibanding provider tetangga,1,positif
sangat puas,0,positif
mantap,1,positif
keren,1,positif
good,0,positif
apk bagus sekali beli paket murah,1,positif
sangat suka layan apk,1,positif
